x1	x2	x3	x4	y
0	2,50	0,00	0	0,086
0	2,50	15,00	12	11,903
0	2,50	30,00	13	19,256
0	2,50	45,00	2	21,889
0	4,00	0,00	3	0,224
0	4,00	15,00	4	30,189
0	4,00	30,00	5	46,284
0	4,00	45,00	6	57,61
0	5,00	0,00	7	0,366
0	5,00	15,00	8	35,654
0	5,00	30,00	3	87,218
0	5,00	45,00	4	87,991
0	6,00	0,00	5	0,55
0	6,00	15,00	6	61,541
0	6,00	30,00	7	119,428
0	6,00	45,00	8	127,289
5	2,50	0,00	4	0,05
5	2,50	15,00	3	6,996
5	2,50	30,00	2	19,116
5	2,50	45,00	4	13,026
5	4,00	0,00	7	0,132
5	4,00	15,00	5	20,437
5	4,00	30,00	6	47,445
5	4,00	45,00	8	33,852
5	5,00	0,00	9	0,208
5	5,00	15,00	0	26,466
5	5,00	30,00	67	67,394
5	5,00	45,00	45	52,482
5	6,00	0,00	33	0,3
5	6,00	15,00	22	36,707
5	6,00	30,00	11	96,682
5	6,00	45,00	21	77,616
5	4,00	45,00	8	33,852
5	5,00	0,00	9	0,208
5	5,00	15,00	0	26,466
5	5,00	30,00	67	67,394
5	5,00	45,00	45	52,482
5	6,00	0,00	33	0,3
5	6,00	15,00	22	36,707
5	6,00	30,00	11	96,682
5	6,00	45,00	21	77,616
