X1	X2	X3	Y
0	2,5	0	-9129
0	2,5	15	-12952
0	2,5	30	-23153
0	2,5	45	-25790
0	4	0	-28634
0	4	15	-38359
0	4	30	-59874
0	4	45	-65624
0	5	0	-35481
0	5	15	-52613
0	5	30	-95792
0	5	45	-98963
5	2,5	0	-6298
5	2,5	15	-8781
5	2,5	30	-14289
5	2,5	45	-15414
5	4	0	-16830
5	4	15	-17290
5	4	30	-35935
5	4	45	-39426
5	5	0	-21244
5	5	15	-32778
5	5	30	-56109
5	5	45	-61146
10	2,5	0	-3888
10	2,5	15	-4306
10	2,5	30	-7618
10	2,5	45	-8784
10	4	0	-9317
10	4	15	-11054
10	4	30	-20192
10	4	45	-22346
10	5	0	-15497
10	5	15	-17382
10	5	30	-30543
10	5	45	-34842
